Title	Text	Image	notes
Bourse Khediviale	Bourse-Khediviale.xml	Bourse-Khediviale.png	
Calendar of the Week	Calendar-of-the-Week.xml	Calendar-of-the-Week.png	p2
Cereal Market	Cereal-Market.xml	Cereal-Market.png	
Coton	Coton.xml	Coton.png	
Cotons	Cotons.xml	Cotons.png	
Daily Weather Report	Daily-Weather-Report.xml	Daily-Weather-Report.png	p2
Derniere Heure	Derniere-Heure.xml	Derniere-Heure.png	
Eastern Telegraph Co. Ltd	Eastern-Telegraph-Co.-Ltd.xml	Eastern-Telegraph-Co.-Ltd.png	
Exterieur	Exterieur.xml	Exterieur.png	
Marche de Minet el Bassal	Marche-de-Minet-el-Bassal.xml	Marche-de-Minet-el-Bassal.png	
Newspaper Subscriptions	Newspaper-Subscriptions.xml	Newspaper-Subscriptions.png	
Reuter's Telegrams	Reuters-Telegrams.xml	Reuters-Telegrams.png	
Share list	Share-list.xml	Share-list.png	
Stocks and Shares	Stocks-and-Shares.xml	Stocks-and-Shares.png	
Telegramme Havas	Telegramme-Havas.xml	Telegramme-Havas.png	
To-day's exchange quotations	To-days-exchange-quotations.xml	To-days-exchange-quotations.png	
